: 514/346.5 : Time 77, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 513.5/346.5 : Time 77, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 513.5/346.5 : Time 77, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 513/346.5 : Time 79, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 513/346.5 : Time 79, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 513/346 : Time 79, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 512.5/346.5 : Time 79, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 512.5/346 : Time 81, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 512.5/346 : Time 81, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 512/346 : Time 81, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 512/346 : Time 81, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 512/346 : Time 81, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 511.5/346 : Time 83, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 511.5/346 : Time 83, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 511.5/346 : Time 83, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 511/346 : Time 83, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 511/346 : Time 83, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 510.5/346 : Time 85, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 510.5/346 : Time 85, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 510.5/345.5 : Time 85, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 510.5/345.5 : Time 85, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 510.5/345.5 : Time 85, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 510/345 : Time 87, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 509.5/345 : Time 87, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 509.5/345 : Time 87, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 509.5/345 : Time 87, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 509.5/345 : Time 87, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 509.5/345 : Time 87, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 508.5/345 : Time 89, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 508.5/345 : Time 89, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 508.5/345 : Time 89, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 508.5/345 : Time 89, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 508.5/345 : Time 89, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 508.5/345 : Time 89, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 507.5/344.5 : Time 91, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 507.5/344 : Time 91, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 507.5/344 : Time 91, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 507.5/344 : Time 91, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 507.5/344 : Time 91, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 507/344 : Time 93, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 507/344 : Time 93, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 506.5/344 : Time 93, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 506.5/344 : Time 93, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 506.5/344 : Time 93, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 506.5/344 : Time 93, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 506/344 : Time 95, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 506/343.5 : Time 95, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 506/343 : Time 97, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 505.5/343 : Time 97, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 505.5/343 : Time 97, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 505.5/343 : Time 97, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 505/343 : Time 99, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 505/343 : Time 99, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 505/343 : Time 99, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 505/343 : Time 99, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 504.5/343 : Time 99, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 504.5/342.5 : Time 101, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 504/343 : Time 101, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 504/342 : Time 103, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 504/343 : Time 105, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 504/343 : Time 105, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 504/343 : Time 105, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 503.5/343 : Time 105, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 503.5/343 : Time 105, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 503.5/343 : Time 105, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 503/343 : Time 107, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 503/343 : Time 107, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 503/343.5 : Time 107, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 503/344 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 502.5/344 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 502.5/344 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 502.5/344 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 502.5/344 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 502.5/344 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 502/344.5 : Time 111, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 502/344.5 : Time 111, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 501.5/345 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 501.5/345 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 501.5/345 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 501.5/345 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 501.5/345 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 501.5/345 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 501.5/345.5 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 501/346 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 500.5/346 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 500.5/346 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 500.5/346 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 500.5/346 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 500.5/346 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 500.5/347 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 500.5/347 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 500.5/347 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 500.5/347 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 499.5/347 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 499.5/347 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 499.5/347.5 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 499.5/347.5 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 499.5/348 : Time 121, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 499.5/348 : Time 121, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 499.5/348 : Time 121, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 499.5/348 : Time 121, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 499.5/348.5 : Time 121, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 499/348.5 : Time 121, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 499/349 : Time 123, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 499/349 : Time 123, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498.5/349 : Time 123, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498.5/349 : Time 123, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498.5/349 : Time 123, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498.5/349.5 : Time 125, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498.5/349.5 : Time 125, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498.5/350 : Time 125, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498/350 : Time 127, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498/350 : Time 127, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498/350 : Time 127, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498/350.5 : Time 127, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498/350.5 : Time 127, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498/351 : Time 129, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 498/351 : Time 129, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 497.5/351 : Time 129, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 497.5/351 : Time 129, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 497/351.5 : Time 131, L1 State: GL--, L2 State: GL-L, (1 - 0): 
: 497/351.5 : Time 131, L1 State: GL--, L2 State: GL-L, (1 - 0): 
