: 581.5/446.5 : Time 85, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 581.5/446.5 : Time 85, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 581.5/446.5 : Time 85, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 581/446 : Time 87, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 580.5/446 : Time 87, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 580.5/446 : Time 87, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 580.5/446 : Time 87, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 580.5/446 : Time 87, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 580.5/446 : Time 87, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 579.5/446 : Time 89, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 579.5/446 : Time 89, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 579.5/446 : Time 89, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 579.5/446 : Time 89, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 579.5/446 : Time 89, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 579.5/446 : Time 89, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 578.5/445.5 : Time 91, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 578.5/445 : Time 91, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 578.5/445 : Time 91, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 578.5/445 : Time 91, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 578.5/445 : Time 91, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 578/445 : Time 93, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 578/445 : Time 93, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 577.5/445 : Time 93, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 577.5/445 : Time 93, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 577.5/445 : Time 93, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 577.5/445 : Time 93, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 577/445 : Time 95, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 577/444.5 : Time 95, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 577/444 : Time 97, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 576.5/444 : Time 97, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 576.5/444 : Time 97, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 576.5/444 : Time 97, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 576/444 : Time 99, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 576/444 : Time 99, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 576/444 : Time 99, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 576/444 : Time 99, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 575.5/444 : Time 99, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 575.5/443.5 : Time 101, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 575/444 : Time 101, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 575/443 : Time 103, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 575/443 : Time 103, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 575/443 : Time 103, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 575/443 : Time 103, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 574.5/443 : Time 103, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 574/443 : Time 105, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 574/443 : Time 105, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 574/443 : Time 105, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 574/443 : Time 105, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 574/442 : Time 107, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 574/442 : Time 107, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 573/442 : Time 109, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 573/442 : Time 109, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 573/442 : Time 109, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 573/442 : Time 109, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 573/442 : Time 109, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 573/442 : Time 109, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 573/442 : Time 109, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 572.5/441 : Time 111, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 572/441 : Time 111, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 572/441 : Time 111, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 572/441 : Time 111, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 572/441 : Time 111, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 572/441 : Time 111, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 572/441 : Time 111, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 571.5/440 : Time 113, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 571.5/440 : Time 113, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 571/440 : Time 113, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 571/440 : Time 113, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 571/440 : Time 113, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 571/440 : Time 113, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 571/440 : Time 113, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 570.5/440 : Time 115, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 570.5/439.5 : Time 115, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 570.5/439 : Time 117, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 570.5/439 : Time 117, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 570/439 : Time 117, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 570/439 : Time 117, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 569.5/439 : Time 119, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 569.5/439 : Time 119, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 569.5/438.5 : Time 119, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 569.5/438.5 : Time 119, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 569.5/438 : Time 121, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 569.5/438 : Time 121, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 569.5/438 : Time 121, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 569/438 : Time 121, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 569/438 : Time 121, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 568.5/438 : Time 123, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 568.5/437 : Time 125, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 568.5/437 : Time 125, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 568.5/437 : Time 125, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 568.5/437 : Time 125, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 568.5/437 : Time 125, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 568.5/437 : Time 125, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 568/436.5 : Time 125, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 568/436 : Time 127, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567.5/436 : Time 127, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567.5/436 : Time 127, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567.5/436 : Time 127, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567.5/436 : Time 127, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567.5/436 : Time 127, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567.5/435.5 : Time 129, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567/435.5 : Time 129, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567/435 : Time 131, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567/435 : Time 131, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 567/435 : Time 131, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566.5/435 : Time 131, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566.5/434.5 : Time 133, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566.5/434.5 : Time 133, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566.5/434 : Time 133, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566.5/434 : Time 133, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566.5/434 : Time 133, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566/434 : Time 135, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566/433.5 : Time 135, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566/433.5 : Time 135, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566/433.5 : Time 135, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566/433 : Time 137, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566/433 : Time 137, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566/433 : Time 137, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 566/432.5 : Time 137, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565.5/432.5 : Time 139, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565.5/432.5 : Time 139, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565.5/432 : Time 139, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/432 : Time 141, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/432 : Time 141, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/431.5 : Time 141, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/431.5 : Time 141, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/431.5 : Time 141, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/431 : Time 143, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/431 : Time 143, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/431 : Time 143, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/430.5 : Time 143, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/430.5 : Time 143, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/430.5 : Time 143, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 565/430 : Time 145, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 564/430 : Time 147, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 564/430 : Time 147, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 564/429.5 : Time 147, L1 State: GL--, L2 State: GL--, (0 - 0): 
