: 569/207 : Time 69, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 569/207.5 : Time 71, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 569/207.5 : Time 71, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 568.5/207.5 : Time 71, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 568.5/207.5 : Time 71, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 568/207.5 : Time 73, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 568/207.5 : Time 73, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 568/207.5 : Time 73, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 567.5/207.5 : Time 73, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 567/207.5 : Time 75, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 567/207.5 : Time 75, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 567/207.5 : Time 75, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 567/207.5 : Time 75, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 566.5/207.5 : Time 75, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 566/207.5 : Time 77, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 566/207.5 : Time 77, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 566/207.5 : Time 77, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 566/207.5 : Time 77, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 565/207.5 : Time 79, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 565/207.5 : Time 79, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 565/207.5 : Time 79, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 565/207.5 : Time 79, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 565/207.5 : Time 79, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 564/207.5 : Time 81, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 564/207.5 : Time 81, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 564/208 : Time 81, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 564/207.5 : Time 81, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 564/207.5 : Time 81, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 563/208 : Time 83, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 563/208 : Time 83, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 563/207.5 : Time 83, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 563/208 : Time 83, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 562.5/208 : Time 83, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 562/207.5 : Time 85, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 562/208 : Time 85, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 562/208 : Time 85, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 562/207.5 : Time 85, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 561.5/208 : Time 85, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 561/208 : Time 87, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 561/207.5 : Time 87, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 561/208 : Time 87, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 560.5/208 : Time 87, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 560.5/207.5 : Time 87, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 560/208 : Time 89, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 560/208 : Time 89, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 560/207.5 : Time 89, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 559.5/208 : Time 89, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 559.5/207.5 : Time 89, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 559/207.5 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 559/208 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 558.5/207.5 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 558.5/207.5 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 558.5/207.5 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 558/207.5 : Time 93, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 558/207.5 : Time 93, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 557.5/207.5 : Time 93, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 557.5/207.5 : Time 93, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 557.5/207 : Time 95, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 557/207 : Time 95, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 556.5/207 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 556.5/207 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
